,ID,Date,Day,Month,Year,User Name,Location,Text,Language,Retweet counts,Favorites counts,Hashtags
0,1605612172016357376,2022-12-21 17:12:27+00:00,21,12,2022,CTBTO,"Vienna, Austria","The #CTBTO team visited radionuclide lab 12 (RL12) in New Zealand 🇳🇿 to assess its performance and confirm the high level of expertise used in radionuclide detection. RL12, hosted by ERL New Zealand, is one of the 16 radionuclide laboratories that support the #IMS network. https://t.co/q2qLSRnbqt",en,2.0,10.0,"[{'text': 'CTBTO', 'indices': [4, 10]}, {'text': 'IMS', 'indices': [260, 264]}]"
1,1605609757380726784,2022-12-21 17:02:51+00:00,21,12,2022,CTBTO,"Vienna, Austria","#CTBTO Intl Data Centre analysis of signals from 40 primary seismic, 39 aux seismic, 2 hydroacoustic, and 3 infrasound #IMS stations detected one event (#IDC mb=5.2), located to WSW of Ferndale, CA on 20 December 2022 at 10:34:24UTC. https://t.co/nbc8BLShnx",en,2.0,4.0,"[{'text': 'CTBTO', 'indices': [0, 6]}, {'text': 'IMS', 'indices': [119, 123]}, {'text': 'IDC', 'indices': [153, 157]}]"
2,1605492930726301696,2022-12-21 09:18:37+00:00,21,12,2022,CTBTO,"Vienna, Austria",RT @UN_Vienna: #LookingBack 2022 - UNO-City opened its doors again for the #Austria-wide Long Night of Research in May with scientists from…,en,8.0,0.0,"[{'text': 'LookingBack', 'indices': [15, 27]}, {'text': 'Austria', 'indices': [75, 83]}]"
3,1605228295724978176,2022-12-20 15:47:04+00:00,20,12,2022,CTBTO,"Vienna, Austria","Amb Vilawan Mangklatanakul, #Thailand's PR presented her credentials to @_RobFloyd. They discussed Executive Secretary's visit to 🇹🇭 in 2023 &amp; preparations for 24th #OSI Regional Intro Course in Chiang Mai. ES thanked Thailand for supporting #CTBT &amp; maintaining two #IMS stations. https://t.co/HtFHRB2YRC",en,4.0,16.0,"[{'text': 'Thailand', 'indices': [28, 37]}, {'text': 'OSI', 'indices': [169, 173]}, {'text': 'CTBT', 'indices': [246, 251]}, {'text': 'IMS', 'indices': [274, 278]}]"
4,1605211599467421696,2022-12-20 14:40:43+00:00,20,12,2022,CTBTO,"Vienna, Austria",RT @UN_Vienna: #Lookingback 2022 - in February #UNVienna welcomed 🇦🇹 President @vanderbellen to UNO-City to meet @UNODC Executive Director…,en,8.0,0.0,"[{'text': 'Lookingback', 'indices': [15, 27]}, {'text': 'UNVienna', 'indices': [47, 56]}]"
5,1605129794164850688,2022-12-20 09:15:39+00:00,20,12,2022,CTBTO,"Vienna, Austria","#CTBTO’s staff audited RL14, a radionuclide lab in #SouthAfrica 🇿🇦. Radionuclide is the only tech that can confirm whether an explosion detected is indicative of a nuclear test. The level of performance of the verification system greatly depends on strong laboratory capabilities. https://t.co/N8zqZqHry4",en,9.0,17.0,"[{'text': 'CTBTO', 'indices': [0, 6]}, {'text': 'SouthAfrica', 'indices': [51, 63]}]"
6,1604861961321304064,2022-12-19 15:31:23+00:00,19,12,2022,CTBTO,"Vienna, Austria",Warmest season’s greetings and wishes for a joyous and peaceful New Year from the #CTBTO. https://t.co/C7xlBDOmQU,en,10.0,25.0,"[{'text': 'CTBTO', 'indices': [82, 88]}]"
7,1604850320500088832,2022-12-19 14:45:07+00:00,19,12,2022,CTBTO,"Vienna, Austria","RT @_RobFloyd: In words of German philosopher Wilhelm von Humbolt, “absolutely nothing is so important for a nation’s culture as its langua…",en,10.0,0.0,[]
8,1604849321148440576,2022-12-19 14:41:09+00:00,19,12,2022,CTBTO,"Vienna, Austria","At an event commemorating 🌎 Arabic Language Day at Vienna International Centre, @_RobFloyd: ""At #CTBTO, we're keen to promote multilingualism &amp; to ensure Arabic &amp; other @UN languages are equally used whenever possible; in the Org’s docs, online platforms or training activities."" https://t.co/RkrrczL7xr",en,6.0,15.0,"[{'text': 'CTBTO', 'indices': [96, 102]}]"
9,1604841028791504896,2022-12-19 14:08:12+00:00,19,12,2022,CTBTO,"Vienna, Austria",RT @AWijewardane: Was a pleasure to participate at @CTBTO’s Science Diplomacy Symposium,en,7.0,0.0,[]
10,1604243688007385088,2022-12-17 22:34:35+00:00,17,12,2022,CTBTO,"Vienna, Austria",RT @afconeorg: We welcome positive development on the continent with regard to nuclear non-proliferation and disarmament.,en,7.0,0.0,[]
11,1603844839573159936,2022-12-16 20:09:42+00:00,16,12,2022,CTBTO,"Vienna, Austria","While in Addis Ababa, @_RobFloyd visited the Ethiopian Institute of Geophysics, Space Science and Astronomy, host of the country's National Data Centre. He commended their dedication and thanked them for 🇪🇹's contribution to the verification regime as host of IMS station AS30. https://t.co/ubczMHFyl0",en,13.0,30.0,[]
12,1603833249276493824,2022-12-16 19:23:39+00:00,16,12,2022,CTBTO,"Vienna, Austria","RT @_RobFloyd: Excellent meeting with HE Mohammed Arrouchi, Perm Rep of Kingdom of Morocco to @_AfricanUnion &amp; @ECA_OFFICIAL. We discussed…",en,9.0,0.0,[]
13,1603788698956533760,2022-12-16 16:26:37+00:00,16,12,2022,CTBTO,"Vienna, Austria","A technical team from the CTBTO visited #ARPANSA 🇦🇺 to assess operations of Radionuclide Laboratory RL02. RL02 is part of #CTBTO's International Monitoring System (IMS), supporting the continuous worldwide monitoring of aerosol samples for radionuclides. https://t.co/1nqsJTVexo",en,5.0,15.0,"[{'text': 'ARPANSA', 'indices': [40, 48]}, {'text': 'CTBTO', 'indices': [122, 128]}]"
14,1603743529779412992,2022-12-16 13:27:08+00:00,16,12,2022,CTBTO,"Vienna, Austria","🔊 Some exciting developments to report on #CTBTO's capacity building and training activities: 12-16 Dec, we installed a Capacity Building System (CBS) in #Uzbekistan. This strengthens the capacity of 🇺🇿's National Data Centre (NDC) to receive IMS data and IDC products. #NDCs4All https://t.co/Db5ECrX9N5",en,10.0,21.0,"[{'text': 'CTBTO', 'indices': [42, 48]}, {'text': 'Uzbekistan', 'indices': [154, 165]}, {'text': 'NDCs4All', 'indices': [270, 279]}]"
15,1603711879976714240,2022-12-16 11:21:22+00:00,16,12,2022,CTBTO,"Vienna, Austria","In-Field Operations Support Course: #CTBTO’s On-Site Inspection Division (OSI) held its first in-person training since Covid-19 took hold. Topics included:
▶️Installation, sustainment &amp; decommissioning of Base of Operations
▶️Health &amp; safety infrastructure
https://t.co/aEUtuliONJ https://t.co/ryn5KKPrH6",en,6.0,13.0,"[{'text': 'CTBTO', 'indices': [36, 42]}]"
16,1603699339121000448,2022-12-16 10:31:32+00:00,16,12,2022,CTBTO,"Vienna, Austria",RT @_RobFloyd: My deep appreciation and gratitude to Amb @VictorAdeleke2 and AU Peace and Security Council @AUC_PAPS for the opportunity to…,en,7.0,0.0,[]
17,1603697769684045824,2022-12-16 10:25:18+00:00,16,12,2022,CTBTO,"Vienna, Austria","(2/2) In 2022 three African countries - The Gambia 🇬🇲, Equatorial Guinea 🇬🇶, and São Tomé and Príncipe 🇸🇹 - ratified the #CTBT, making the African Union the largest geographical group of CTBTO members with 51 States Signatories. https://t.co/RuGTQu1iDU",en,5.0,12.0,"[{'text': 'CTBT', 'indices': [121, 126]}]"
