,ID,Date,Day,Month,Year,User Name,Location,Text,Language,Retweet counts,Favorites counts,Hashtags
0,1605866958129434624,2022-12-22 10:04:53+00:00,22,12,2022,OECD NEA ⚛️ Nuclear Energy Agency,France,"The final NEA news bulletin for 2022 is out. 📰⚛️

Discover the latest news, event updates, training opportunities, publications and more from the @OECD_NEA. 

Read here 🗞️ https://t.co/EHR0ExNTUX
Subscribe ➡️ https://t.co/ltl0u0GGXe https://t.co/atRpeynIVI",en,0.0,0.0,[]
1,1605484833769246720,2022-12-21 08:46:27+00:00,21,12,2022,OECD NEA ⚛️ Nuclear Energy Agency,France,"It's been a busy year for the @OECD_NEA. We'd like to thank the organisations and delegates who we worked with in 2022 to help support the safe, environmentally sound and economical use of nuclear energy. We wish you a peaceful and healthy holiday season. ⚛️ https://t.co/iGed8C6erh",en,0.0,3.0,[]
2,1605193437556375552,2022-12-20 13:28:33+00:00,20,12,2022,OECD NEA ⚛️ Nuclear Energy Agency,France,"On 8 December, @OECD_NEA, @MKiS_GOV_PL &amp; @_IFNEC brought together policy makers, researchers and #nuclear industry representatives for a conference on #NuclearFinancing in Poland, Warsaw 🇵🇱

Read more ➡️ https://t.co/DySCyOBWzy
Watch online ➡️ https://t.co/qe2TFcRYnN https://t.co/o91idQTCZe",en,2.0,4.0,"[{'text': 'nuclear', 'indices': [101, 109]}, {'text': 'NuclearFinancing', 'indices': [155, 172]}]"
3,1603749735608815616,2022-12-16 13:51:47+00:00,16,12,2022,OECD NEA ⚛️ Nuclear Energy Agency,France,"A focus on how to discuss matters of nuclear risk with the public has emerged as a priority for NEA member countries, not just for nuclear emergencies but in day-to-day operations. To address this, the @OECD_NEA held a Risk Communication Training Course. 
https://t.co/hADv29k1m5 https://t.co/g2cALhxLUT",en,1.0,1.0,[]
4,1603401297079705600,2022-12-15 14:47:13+00:00,15,12,2022,OECD NEA ⚛️ Nuclear Energy Agency,France,"Experts from 26 organisations in 15 countries gathered for the 𝗦𝗲𝗰𝗼𝗻𝗱 𝗪𝗼𝗿𝗸𝘀𝗵𝗼𝗽 𝗼𝗻 𝗜𝗻𝘁𝗲𝗿𝗻𝗮𝘁𝗶𝗼𝗻𝗮𝗹 𝗛𝗮𝗿𝘃𝗲𝘀𝘁𝗶𝗻𝗴 𝗖𝗼-𝗼𝗽𝗲𝗿𝗮𝘁𝗶𝗼𝗻, organised by the @OECD_NEA &amp; @NRCgov in Stockholm, Sweden. Read more ➡️ https://t.co/DdbQdwEanL https://t.co/S1BjHZ30NC",en,1.0,4.0,[]
5,1603317240744398848,2022-12-15 09:13:13+00:00,15,12,2022,OECD NEA ⚛️ Nuclear Energy Agency,France,RT @WiNglobal: TODAY! 👏🏻,en,1.0,0.0,[]
6,1603002032696213504,2022-12-14 12:20:41+00:00,14,12,2022,OECD NEA ⚛️ Nuclear Energy Agency,France,"Last month, the @OECD_NEA 𝙀𝙭𝙥𝙚𝙧𝙩 𝙂𝙧𝙤𝙪𝙥 𝙤𝙣 𝙎𝙢𝙖𝙡𝙡 𝙈𝙤𝙙𝙪𝙡𝙖𝙧 𝙍𝙚𝙖𝙘𝙩𝙤𝙧𝙨 met in Paris to discuss safety opportunities and the challenges associated with deployment the of #SMRs on a large scale. 

More on the NEA's #SMR strategy ➡️ https://t.co/XacfuP21sb https://t.co/ujb1fV8ZM8",en,0.0,0.0,"[{'text': 'SMRs', 'indices': [163, 168]}, {'text': 'SMR', 'indices': [207, 211]}]"
7,1602662313227685888,2022-12-13 13:50:46+00:00,13,12,2022,OECD NEA ⚛️ Nuclear Energy Agency,France,"📑 New report: 𝗙𝗶𝗻𝗮𝗻𝗰𝗶𝗻𝗴 𝗡𝗲𝘄 𝗡𝘂𝗰𝗹𝗲𝗮𝗿 𝗣𝗼𝘄𝗲𝗿 𝗣𝗹𝗮𝗻𝘁𝘀: 𝗠𝗶𝗻𝗶𝗺𝗶𝘀𝗶𝗻𝗴 𝘁𝗵𝗲 𝗖𝗼𝘀𝘁 𝗼𝗳 𝗖𝗮𝗽𝗶𝘁𝗮𝗹 𝗯𝘆 𝗢𝗽𝘁𝗶𝗺𝗶𝘀𝗶𝗻𝗴 𝗥𝗶𝘀𝗸 𝗠𝗮𝗻𝗮𝗴𝗲𝗺𝗲𝗻𝘁 ➡️ https://t.co/AnSqcshtfp

Watch the launch discussion ➡️ https://t.co/T2Rcs4KiqI https://t.co/p0wZMTM49Y",en,10.0,23.0,[]
8,1601234337755983872,2022-12-09 15:16:30+00:00,9,12,2022,OECD NEA ⚛️ Nuclear Energy Agency,France,"Director-General of the @OECD_NEA William D. Magwood, IV was in #Bratislava 🇸🇰 to welcome participants to the NEA #workshop on public #riskcommunication which is taking place from 7-9 December. 

#nuclearenergy #communications #stakeholdermanagement https://t.co/p4zTWinzti",en,0.0,6.0,"[{'text': 'Bratislava', 'indices': [64, 75]}, {'text': 'workshop', 'indices': [114, 123]}, {'text': 'riskcommunication', 'indices': [134, 152]}, {'text': 'nuclearenergy', 'indices': [196, 210]}, {'text': 'communications', 'indices': [211, 226]}, {'text': 'stakeholdermanagement', 'indices': [227, 249]}]"
9,1601218256966017024,2022-12-09 14:12:36+00:00,9,12,2022,OECD NEA ⚛️ Nuclear Energy Agency,France,"Jason Cameron, Vice-President, #Communications and #PublicAffairs, Atomic Energy of Canada Limited @AECL_EACL, spoke at the @OECD_NEA's workshop on public #riskcommunication, sharing over 20 years of experience and lessons learnt with the participants. https://t.co/jm7sYxOdkw",en,0.0,4.0,"[{'text': 'Communications', 'indices': [31, 46]}, {'text': 'PublicAffairs', 'indices': [51, 65]}, {'text': 'riskcommunication', 'indices': [155, 173]}]"
10,1601152187073175552,2022-12-09 09:50:04+00:00,9,12,2022,OECD NEA ⚛️ Nuclear Energy Agency,France,"The @OECD_NEA with the Nuclear Regulatory Authority of the Slovak Republic 🇸🇰 are holding a 3-day workshop in #Bratislava to help improve the effectiveness of #riskcommunication in order to enhance public understanding in the #nuclearsector. 

 ➡️https://t.co/pmj1Ubu2HT https://t.co/qjuiYCQ0L5",en,0.0,7.0,"[{'text': 'Bratislava', 'indices': [110, 121]}, {'text': 'riskcommunication', 'indices': [159, 177]}, {'text': 'nuclearsector', 'indices': [226, 240]}]"
