,ID,Date,Day,Month,Year,User Name,Location,Text,Language,Retweet counts,Favorites counts,Hashtags
0,1605746694192144384,2022-12-22 02:06:59+00:00,22,12,2022,Office of Nuclear Energy,"Washington, DC",This program recognizes and awards published graduate and undergraduate students for innovative nuclear energy research. The Request for Applications and info on how to apply can be found here: https://t.co/0pRDOzafxj. Good luck!,en,3.0,14.0,[]
1,1605746688928276480,2022-12-22 02:06:58+00:00,22,12,2022,Office of Nuclear Energy,"Washington, DC",ATTENTION STUDENTS! We’re accepting applications for our Innovations in Nuclear Energy R&amp;D Student Competition. https://t.co/aGndHppWOr,en,22.0,50.0,[]
2,1605674430327181312,2022-12-21 21:19:50+00:00,21,12,2022,Office of Nuclear Energy,"Washington, DC","RT @SecGranholm: Half of all cancer patients need radiotherapy — but in low-income countries, only 10% have access to it. We can do somethi…",en,25.0,0.0,[]
3,1605665738030735360,2022-12-21 20:45:18+00:00,21,12,2022,Office of Nuclear Energy,"Washington, DC","WATCH 👀: See what the BIG deal is about microreactors. 

Learn more: https://t.co/pqgJw9WtUC https://t.co/RyVVfGcatd",en,24.0,86.0,[]
4,1605620893635444736,2022-12-21 17:47:06+00:00,21,12,2022,Office of Nuclear Energy,"Washington, DC","NUCLEAR 101: Advanced light-water small modular reactors are simply smaller, manufactured versions of large-scale reactors. 

They can be scaled up or down to meet clean energy demands and help power areas where larger plants are not needed. 

Learn more: https://t.co/ruQctoImpl https://t.co/UHYjwExhpU",en,23.0,103.0,[]
5,1605588867754512384,2022-12-21 15:39:51+00:00,21,12,2022,Office of Nuclear Energy,"Washington, DC",“Federal interim storage is the path forward using a consent-based siting approach and we’re finally making progress. We plan to issue our first CBS awards to communities interested in learning more about this process early next year.” - KH (3/3),en,0.0,9.0,[]
6,1605588865976193024,2022-12-21 15:39:50+00:00,21,12,2022,Office of Nuclear Energy,"Washington, DC","“Connecticut has more than 80 dry casks of spent nuclear fuel stored on-site at its Millstone and CT Yankee power plants. It is @ENERGY’s responsibility to take back this fuel. We have yet to fulfill that promise."" 
- KH (2/3)",en,0.0,7.0,[]
7,1605588860867473408,2022-12-21 15:39:49+00:00,21,12,2022,Office of Nuclear Energy,"Washington, DC","“Let’s talk about waste. Really enjoyed today’s discussion with @repjoecourtney and community leaders in Connecticut on spent nuclear fuel and @ENERGY’s consent-based siting program.”
 - Katy Huff (1/3) https://t.co/ok3J50u1Hl",en,6.0,31.0,[]
8,1605560480801492992,2022-12-21 13:47:03+00:00,21,12,2022,Office of Nuclear Energy,"Washington, DC",Molten salt reactor fans 👇 https://t.co/Wp428GUuQ7,ca,8.0,33.0,[]
9,1605352731304005632,2022-12-21 00:01:31+00:00,21,12,2022,Office of Nuclear Energy,"Washington, DC",👏👏👏 https://t.co/PpjTc6ZIAm,art,12.0,99.0,[]
10,1605352322586247168,2022-12-20 23:59:54+00:00,20,12,2022,Office of Nuclear Energy,"Washington, DC","RT @ENERGY: “STEM is at the heart of DOE’s mission.” 🔬⚛️❤️🔋⚡️ 

Dr. Geri Richmond introduces our new portal for all things #DOESTEM! There’…",en,20.0,0.0,"[{'text': 'DOESTEM', 'indices': [123, 131]}]"
11,1605297012303450112,2022-12-20 20:20:07+00:00,20,12,2022,Office of Nuclear Energy,"Washington, DC","📢 RECENT GRADS: @ENERGY is hiring a general engineer or physical scientist in our Idaho Operations Field Office to support organizational programs and projects. 

Apply by 1/5 : https://t.co/iXbHNt7d5s https://t.co/wcOLWpRJRz",en,6.0,23.0,[]
12,1605254283393474560,2022-12-20 17:30:20+00:00,20,12,2022,Office of Nuclear Energy,"Washington, DC","Four lightbulbs started it all! 💡💡💡💡

#OnThisDay in 1951, EBR-1 became the first power plant in the world to produce electricity using atomic energy—setting the stage for the nuclear power industry. 

Learn more about this historic reactor: https://t.co/mvCD6Dy53e https://t.co/LVw1KK68KB",en,46.0,106.0,"[{'text': 'OnThisDay', 'indices': [38, 48]}]"
13,1605204125821685760,2022-12-20 14:11:01+00:00,20,12,2022,Office of Nuclear Energy,"Washington, DC","""Our planet’s clean energy transition must transform terawatts, requiring hundreds of gigawatts of nuclear energy to complement the hundreds of gigawatts of renewable and storage capacity we must also deploy."" 

- Katy Huff via @ASMEdotorg 
➡️: https://t.co/5KTo072939 https://t.co/VJtxZ0aCL9",en,16.0,88.0,[]
14,1604916924806209536,2022-12-19 19:09:47+00:00,19,12,2022,Office of Nuclear Energy,"Washington, DC","Farmers can use radioisotopes to control insects 🐛that destroy crops 🌽as an alternative to chemical pesticides. In this procedure, male insect pests are rendered infertile. Pest populations are then drastically reduced and, in some cases, eliminated. https://t.co/cdZLaYg4jB",en,9.0,30.0,[]
15,1604916920398106624,2022-12-19 19:09:46+00:00,19,12,2022,Office of Nuclear Energy,"Washington, DC","Criminal investigators🔎frequently rely on radioisotopes to obtain physical evidence linking a suspect to a specific crime. They can be used to identify trace chemicals in materials such as paint, glass, tape, gunpowder, lead, and poisons. https://t.co/CaffwvkyMe",en,6.0,26.0,[]
16,1604916915796934912,2022-12-19 19:09:45+00:00,19,12,2022,Office of Nuclear Energy,"Washington, DC","Nuclear medical imaging, which combines the safe administration of radioisotopes with camera imaging, helps physicians locate tumors, size anomalies, or other problems. Doctors also use radioisotopes to kill cancerous tissue, reduce the size of tumors, and alleviate pain. 🏥 https://t.co/98pf57slYj",en,7.0,27.0,[]
17,1604916909752782848,2022-12-19 19:09:43+00:00,19,12,2022,Office of Nuclear Energy,"Washington, DC",Nuclear provides 19% of our electricity in the United States. It’s also the nation’s largest source of clean energy—making up HALF of our emissions-free electricity.⚡️ https://t.co/TTstYbamm6,en,11.0,43.0,[]
18,1604916900877996032,2022-12-19 19:09:41+00:00,19,12,2022,Office of Nuclear Energy,"Washington, DC","Deep space has been made possible by radioisotope power systems. These systems are proven to be safe, reliable, and maintenance-free for decades of space exploration, including missions to study Jupiter, Saturn, Mars, and Pluto.🚀 https://t.co/1acInNxCdS",en,7.0,40.0,[]
19,1604916896230506496,2022-12-19 19:09:40+00:00,19,12,2022,Office of Nuclear Energy,"Washington, DC",🧵Nuclear is more than just clean energy. Here are 5 incredible ways nuclear powers our lives:,en,36.0,133.0,[]
20,1604841485546971136,2022-12-19 14:10:01+00:00,19,12,2022,Office of Nuclear Energy,"Washington, DC",Biggest challenge in deploying advanced reactors today is...,en,7.0,102.0,[]
21,1604626335728549888,2022-12-18 23:55:05+00:00,18,12,2022,Office of Nuclear Energy,"Washington, DC",Nuclear energy is the ultimate carbon emissions avoider... https://t.co/tsA1Sym4fL,en,40.0,124.0,[]
22,1604573214692237312,2022-12-18 20:24:00+00:00,18,12,2022,Office of Nuclear Energy,"Washington, DC","😬 
https://t.co/sU6GrEZlaZ",und,9.0,39.0,[]
23,1604556626346016768,2022-12-18 19:18:05+00:00,18,12,2022,Office of Nuclear Energy,"Washington, DC","Nuclear 101: Molten salt reactors use molten fluoride or chloride salts as a coolant. 

MSRs are designed to use less fuel and produce shorter-lived radioactive waste than other reactor types. https://t.co/uUmgul96C2",en,43.0,237.0,[]
24,1604545838788640768,2022-12-18 18:35:13+00:00,18,12,2022,Office of Nuclear Energy,"Washington, DC","Happy Hanukkah to all those celebrating.
#FestivalOfLights",en,4.0,25.0,"[{'text': 'FestivalOfLights', 'indices': [41, 58]}]"
25,1604163688789069824,2022-12-17 17:16:41+00:00,17,12,2022,Office of Nuclear Energy,"Washington, DC","RT @INL: NEW VIDEO ▶️ 

@INL is home to innovations in #nuclear research, integrated #energy systems and #security solutions that are chang…",en,7.0,0.0,"[{'text': 'nuclear', 'indices': [55, 63]}, {'text': 'energy', 'indices': [85, 92]}, {'text': 'security', 'indices': [105, 114]}]"
26,1604118741792481280,2022-12-17 14:18:05+00:00,17,12,2022,Office of Nuclear Energy,"Washington, DC",FACT: Nuclear energy is the largest source of carbon-free electricity in the U.S. https://t.co/jDQt4p9HrY,en,86.0,290.0,[]
27,1603852236882382848,2022-12-16 20:39:06+00:00,16,12,2022,Office of Nuclear Energy,"Washington, DC","NUCLEAR 101: Microreactors are factory-built, plug-and-play reactors. 

They can be used to power military bases, disaster recovery efforts, or remote locations where traditional infrastructure doesn’t exist. 

Learn more 👉  https://t.co/4ZFvimxjvC https://t.co/HPfaNdCvgW",en,52.0,211.0,[]
28,1603830594433056768,2022-12-16 19:13:06+00:00,16,12,2022,Office of Nuclear Energy,"Washington, DC","THE BAYOU STATE: The Waterford 3 Steam Electric Station has been providing clean and reliable electricity to Louisiana for 37 years. The nuclear power plant is one of two in the state and employs around 800 people. 

📷 : @Entergy https://t.co/dkN3Kkb1Fx",en,15.0,50.0,[]
29,1603773445824708608,2022-12-16 15:26:00+00:00,16,12,2022,Office of Nuclear Energy,"Washington, DC",What do your friends think about nuclear energy?,en,10.0,127.0,[]
30,1603606815371141120,2022-12-16 04:23:53+00:00,16,12,2022,Office of Nuclear Energy,"Washington, DC","RT @ENERGY: Big news! We've just launched a new DOE #STEM portal aimed at empowering students, educators, &amp; the scientific workforce w/ the…",en,101.0,0.0,"[{'text': 'STEM', 'indices': [52, 57]}]"
31,1603528689353989888,2022-12-15 23:13:26+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC","WATCH👀: It's not every day you get to see a test reactor pulse!

H/T: @iaeaorg https://t.co/xSLdcvhdtH",en,108.0,699.0,[]
32,1603506951182483712,2022-12-15 21:47:03+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC","RT @iaeaorg: 📈 Nuclear power provided secure and reliable low-emission electricity in 2021, notching its 2nd highest annual output of the l…",en,101.0,0.0,[]
33,1603496507788910592,2022-12-15 21:05:33+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC","RT @rafaelmgrossi: Thank you, USA, for the generous $4 million pledge to help Africa through our Rays of Hope #CancerCare4All initiative.…",en,33.0,0.0,"[{'text': 'CancerCare4All', 'indices': [110, 125]}]"
34,1603496459571191808,2022-12-15 21:05:22+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC",RT @SecGranholm: I'm so proud of the work @ENERGY @StateDept @USAID and @DeptofDefense are doing together to help Ukrainians build up their…,en,46.0,0.0,[]
35,1603492113940897792,2022-12-15 20:48:06+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC","What is HALEU? High-assay low-enriched uranium is a crucial material needed to help deploy advanced reactors. 

Learn more 👉 https://t.co/KMvoI364cP https://t.co/ONSlKhCCXo",en,26.0,91.0,[]
36,1603447801224085504,2022-12-15 17:52:01+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC","RT @GAINnuclear: ⚛️ Congrats to the latest round GAIN nuclear energy voucher awardees! ⚛️

@DowNewsroom + @INL 👉https://t.co/Tv5LTMK5Yt

@F…",en,8.0,0.0,[]
37,1603443185912795136,2022-12-15 17:33:40+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC",".@RadiantNuclear will work with @argonne &amp; @INL to develop computational analysis tools to better advance the design of its portable microreactor. The design concept is being developed as a potential replacement for diesel generators.

Abstract ➡️ https://t.co/clfB5EFb13
(5/5) https://t.co/bHq2T9hWc0",en,7.0,21.0,[]
38,1603443182708178944,2022-12-15 17:33:39+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC",".@oklo will work with @argonne to conduct experiments that can simulate coolant flow through the company’s Aurora reactor core to validate key modeling parameters and inform their microreactor design.

Abstract ➡️ https://t.co/P7xnoVh9LY
(4/5) https://t.co/tFSrLoIeVN",en,3.0,14.0,[]
39,1603443180304842752,2022-12-15 17:33:39+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC",".@FlibeEnergy will work with @argonne to manufacture and characterize salt systems for use in the company’s low-enriched uranium fueled molten salt reactor, which can be used for power or medical isotope production.

Abstract ➡️ https://t.co/ql0dAEWCOh
(3/5) https://t.co/0Qpb2DhZ6p",en,8.0,25.0,[]
40,1603443178467622912,2022-12-15 17:33:38+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC",".@DowNewsroom will work with @INL to examine how small modular reactor (SMR) technologies can be integrated to provide electricity and process heat for the company’s chemical plants. 

Abstract ➡️ https://t.co/9Jk6akRGvu 
(2/5)",en,2.0,10.0,[]
41,1603443176794210304,2022-12-15 17:33:38+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC","🧵: GAIN-ing ACCESS: @GAINnuclear announces vouchers to 4 U.S. companies to support the development of several advanced reactors by providing access to @ENERGY national labs. (1/5)
https://t.co/KqgPdjYH18",en,10.0,26.0,[]
42,1603437018712875008,2022-12-15 17:09:10+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC",".@ENERGY is supporting the development of TF3 through its Advanced Reactor Demonstration Program.   The design &amp; license application development of TF3 was also supported through an $18M (federal cost share) that was awarded to X-energy in 2018. 
https://t.co/4qsGLSxR7b",en,3.0,15.0,[]
43,1603435867976130560,2022-12-15 17:04:35+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC","@xenergynuclear successfully submitted their application to the NRC in early April.

When commissioned, it will bring an estimated 400 new jobs to TN and become a key enabler for other advanced reactor designs leveraging TRISO fuel.

TF3 could be operational as early as 2025.",en,2.0,19.0,[]
44,1603435865782599680,2022-12-15 17:04:35+00:00,15,12,2022,Office of Nuclear Energy,"Washington, DC","ACCEPTED: @NRCgov accepts @xenergynuclear's TRISO-X application for the nation's first-ever fuel fabrication facility focusing on the use of high-assay low-enriched uranium which will be located in Oak Ridge, Tennessee.  

➡️ https://t.co/fbTV9EInLl https://t.co/Ll3qc3cIBG",en,14.0,73.0,[]
45,1603134007092576512,2022-12-14 21:05:06+00:00,14,12,2022,Office of Nuclear Energy,"Washington, DC","FACT: 92 U.S. reactors operate in 28 states to provide HALF of our nation’s clean power 

Learn more here: https://t.co/GbfF6cM4gF https://t.co/4Kt3R4ixYb",en,29.0,103.0,[]
46,1603129747537481728,2022-12-14 20:48:11+00:00,14,12,2022,Office of Nuclear Energy,"Washington, DC","The correct answer is... 40 years old. Some utilities are currently applying for extended operating licenses and experts say there are no technical limits to extending a nuclear power plant's lifespan up to 80 years or longer.

Read more here 👉 https://t.co/7P4R2WZYcV https://t.co/Oj30Vu3lKp",en,16.0,57.0,[]
47,1603106526679355392,2022-12-14 19:15:54+00:00,14,12,2022,Office of Nuclear Energy,"Washington, DC",BWR: BWRs heat water and produce steam directly inside the reactor vessel. Water is pumped up through the reactor core and heated by fission. Pipes then feed the steam directly to a turbine to produce electricity. (3/3) https://t.co/Ffa5Lw990N,en,6.0,54.0,[]
48,1603106522862477312,2022-12-14 19:15:53+00:00,14,12,2022,Office of Nuclear Energy,"Washington, DC",PWR: The water in the core is heated by nuclear fission and then pumped into tubes inside a heat exchanger. Those tubes heat a separate water source to create steam. The steam then turns an electric generator to produce electricity. (2/3) https://t.co/rLgm8XoU9a,en,10.0,65.0,[]
49,1603106518697758720,2022-12-14 19:15:52+00:00,14,12,2022,Office of Nuclear Energy,"Washington, DC",🧵What’s the difference between a pressurized water reactor (PWR) and boiling water reactor (BWR)? (1/3),en,20.0,87.0,[]
50,1602824441771266048,2022-12-14 00:35:00+00:00,14,12,2022,Office of Nuclear Energy,"Washington, DC","🚚🚂 Transporting spent nuclear fuel is a well-coordinated process with a great track record. Here are the facts to prove it.

https://t.co/ih7DJ31YLX",en,15.0,84.0,[]
51,1602765990424711168,2022-12-13 20:42:44+00:00,13,12,2022,Office of Nuclear Energy,"Washington, DC",The average age of a nuclear power plant in the U.S. is?,en,5.0,17.0,[]
52,1602745193417039872,2022-12-13 19:20:06+00:00,13,12,2022,Office of Nuclear Energy,"Washington, DC","FACT: Most of the nation’s spent fuel is safely and securely stored at more than 70 reactor sites across the country. 

Learn more 👉: https://t.co/GqCWPTJYt2 https://t.co/TE5z4D1ccK",en,21.0,71.0,[]
53,1602680671096524800,2022-12-13 15:03:43+00:00,13,12,2022,Office of Nuclear Energy,"Washington, DC","We work on fission, but this is a BIG deal. Congrats to @Livermore_Lab and @NNSANews 🙌 https://t.co/RKBR9t7cxw",en,37.0,134.0,[]
54,1602460543339696128,2022-12-13 00:29:00+00:00,13,12,2022,Office of Nuclear Energy,"Washington, DC",The biggest challenge nuclear energy is facing today is…,en,30.0,233.0,[]
55,1602359633930248192,2022-12-12 17:48:01+00:00,12,12,2022,Office of Nuclear Energy,"Washington, DC","FACT: Nuclear energy produces more electricity on less land than any other clean air source. 

Learn more 👇  https://t.co/U43ErVFR2j",en,57.0,216.0,[]
56,1602296218360717312,2022-12-12 13:36:02+00:00,12,12,2022,Office of Nuclear Energy,"Washington, DC","APPOINTED: @POTUS Administration appoints members to the Nuclear Waste Technical Review Board  👇

https://t.co/l67T20ezum",en,6.0,31.0,[]
57,1602093394930581504,2022-12-12 00:10:05+00:00,12,12,2022,Office of Nuclear Energy,"Washington, DC",NUCLEAR 101: Everything you need to know about advanced reactors in ☝️ graphic. https://t.co/plpt3V2OUE,en,100.0,301.0,[]
58,1602039015582072832,2022-12-11 20:34:00+00:00,11,12,2022,Office of Nuclear Energy,"Washington, DC","1️⃣ Nuclear desalination 
2️⃣ Clean hydrogen production  
3️⃣ Process heat 
https://t.co/esrdoeI2Hl",en,35.0,99.0,[]
59,1602024944665333760,2022-12-11 19:38:05+00:00,11,12,2022,Office of Nuclear Energy,"Washington, DC","🎄 ❄️ In case you were wondering, we did the math.

Check our work here 👉 https://t.co/pMfoZbn3f5 https://t.co/VLK2tyGskt",en,26.0,87.0,[]
60,1601674363320893440,2022-12-10 20:25:00+00:00,10,12,2022,Office of Nuclear Energy,"Washington, DC",My favorite commercial reactor is...,en,9.0,78.0,[]
61,1601636866490773504,2022-12-10 17:56:00+00:00,10,12,2022,Office of Nuclear Energy,"Washington, DC",🤦 https://t.co/Nb3KQEXkCm,und,15.0,52.0,[]
62,1601587813547376640,2022-12-10 14:41:05+00:00,10,12,2022,Office of Nuclear Energy,"Washington, DC",Nuclear may be more flexible than you think! Learn more 👉 https://t.co/kQyU7ovu3r https://t.co/jCiPDrzpI0,en,49.0,138.0,[]
63,1601336754006818816,2022-12-09 22:03:28+00:00,9,12,2022,Office of Nuclear Energy,"Washington, DC","RT @INL: NEW VIDEO ▶️ @INL is home to innovations in #nuclear research, integrated #energy systems and #security solutions that are changin…",en,9.0,0.0,"[{'text': 'nuclear', 'indices': [53, 61]}, {'text': 'energy', 'indices': [83, 90]}, {'text': 'security', 'indices': [103, 112]}]"
64,1601310813041852416,2022-12-09 20:20:23+00:00,9,12,2022,Office of Nuclear Energy,"Washington, DC",Best benefit of a microreactor... 🤔,en,12.0,29.0,[]
65,1601297653379350528,2022-12-09 19:28:05+00:00,9,12,2022,Office of Nuclear Energy,"Washington, DC",OUT OF THIS WORLD🚀: Radioisotope power systems have powered more than ✌️dozen U.S. space missions and can produce heat and electricity under the harsh conditions in deep space for decades without any maintenance. https://t.co/QjijfVsACh,en,21.0,84.0,[]
66,1601238261795520512,2022-12-09 15:32:05+00:00,9,12,2022,Office of Nuclear Energy,"Washington, DC","Limerick Generating Station’s Unit 1 and 2 produce enough carbon free electricity to power more than 2 million homes in Pennsylvania. @ENERGY is working with @ConstellationEG to install the industry’s first fully digital control room to boost performance. 

📷 : @ConstellationEG https://t.co/0wyasclqat",en,26.0,112.0,[]
67,1601219422621868032,2022-12-09 14:17:14+00:00,9,12,2022,Office of Nuclear Energy,"Washington, DC","@michael_pinka Sure are.  We are currently focusing on a consent-based siting process for interim storage. 

https://t.co/O9poCanu7Q",en,0.0,1.0,[]
